,Fold,Model,Accuracy,Balanced Accuracy,Precision-Macro,Precision-Weighted,Recall-Macro,Recall-Weighted,F1-Score-Macro,F1-Score-Weighted
138,6,LinearSVC,0.993,0.946,0.991,0.993,0.946,0.993,0.964,0.993
139,6,LogisticRegression,0.992,0.957,0.99,0.992,0.957,0.992,0.971,0.992
140,6,NearestCentroid,0.689,0.745,0.545,0.815,0.745,0.689,0.521,0.733
141,6,PassiveAggressiveClassifier,0.983,0.783,0.836,0.983,0.783,0.983,0.804,0.983
142,6,Perceptron,0.981,0.905,0.891,0.982,0.905,0.981,0.861,0.981
143,6,QuadraticDiscriminantAnalysis,0.925,0.702,0.667,0.923,0.702,0.925,0.681,0.923
144,6,RandomForestClassifier,0.979,0.702,0.858,0.979,0.702,0.979,0.728,0.976
145,6,RidgeClassifier,0.95,0.592,0.6,0.927,0.592,0.95,0.595,0.937
146,6,RidgeClassifierCV,0.95,0.592,0.6,0.927,0.592,0.95,0.595,0.937
147,6,SGDClassifier,0.979,0.716,0.738,0.975,0.716,0.979,0.726,0.977
148,6,SVC,0.974,0.782,0.856,0.973,0.782,0.974,0.808,0.973
149,6,LGBMClassifier,0.359,0.158,0.175,0.353,0.158,0.359,0.154,0.338
150,7,AdaBoostClassifier,0.64,0.411,0.241,0.429,0.36,0.64,0.287,0.51
151,7,BaggingClassifier,0.994,0.989,0.987,0.994,0.989,0.994,0.988,0.994
152,7,BernoulliNB,0.8,0.78,0.548,0.829,0.683,0.8,0.578,0.81
153,7,CalibratedClassifierCV,0.991,0.964,0.992,0.991,0.964,0.991,0.977,0.991
154,7,DecisionTreeClassifier,0.989,0.955,0.974,0.989,0.955,0.989,0.964,0.989
155,7,DummyClassifier,0.416,0.143,0.059,0.173,0.143,0.416,0.084,0.245
156,7,ExtraTreeClassifier,0.919,0.835,0.827,0.92,0.835,0.919,0.83,0.919
157,7,ExtraTreesClassifier,0.983,0.903,0.986,0.983,0.903,0.983,0.937,0.982
158,7,GaussianNB,0.927,0.919,0.697,0.95,0.804,0.927,0.715,0.937
159,7,KNeighborsClassifier,0.85,0.626,0.767,0.85,0.626,0.85,0.661,0.841
160,7,LabelPropagation,0.359,0.225,0.592,0.713,0.225,0.359,0.201,0.317
161,7,LabelSpreading,0.359,0.225,0.592,0.713,0.225,0.359,0.201,0.317
162,7,LinearDiscriminantAnalysis,0.978,0.979,0.898,0.981,0.979,0.978,0.918,0.979
163,7,LinearSVC,0.992,0.948,0.869,0.992,0.83,0.992,0.846,0.992
164,7,LogisticRegression,0.992,0.967,0.988,0.992,0.967,0.992,0.976,0.992
165,7,NearestCentroid,0.672,0.705,0.548,0.805,0.617,0.672,0.513,0.718
166,7,PassiveAggressiveClassifier,0.983,0.883,0.806,0.984,0.773,0.983,0.78,0.983
167,7,Perceptron,0.982,0.874,0.846,0.983,0.765,0.982,0.78,0.982
168,7,QuadraticDiscriminantAnalysis,0.929,0.805,0.778,0.927,0.805,0.929,0.789,0.928
169,7,RandomForestClassifier,0.973,0.812,0.975,0.974,0.812,0.973,0.854,0.97
170,7,RidgeClassifier,0.945,0.685,0.685,0.919,0.685,0.945,0.684,0.931
171,7,RidgeClassifierCV,0.945,0.685,0.685,0.919,0.685,0.945,0.684,0.931
172,7,SGDClassifier,0.973,0.805,0.831,0.971,0.805,0.973,0.817,0.972
173,7,SVC,0.974,0.919,0.977,0.974,0.919,0.974,0.944,0.974
174,7,LGBMClassifier,0.266,0.151,0.207,0.407,0.151,0.266,0.114,0.227
175,8,AdaBoostClassifier,0.675,0.499,0.471,0.537,0.499,0.675,0.43,0.576
176,8,BaggingClassifier,0.996,0.969,0.986,0.996,0.969,0.996,0.976,0.996
177,8,BernoulliNB,0.808,0.686,0.563,0.84,0.686,0.808,0.6,0.818
178,8,CalibratedClassifierCV,0.993,0.921,0.996,0.993,0.921,0.993,0.948,0.993
