,Fold,Model,Accuracy,Balanced Accuracy,Precision-Macro,Precision-Weighted,Recall-Macro,Recall-Weighted,F1-Score-Macro,F1-Score-Weighted
99,4,LGBMClassifier,0.992,0.893,0.83,0.993,0.893,0.992,0.85,0.992
100,5,AdaBoostClassifier,0.639,0.36,0.251,0.427,0.36,0.639,0.294,0.509
101,5,BaggingClassifier,0.996,0.968,0.95,0.997,0.968,0.996,0.954,0.996
102,5,BernoulliNB,0.868,0.768,0.772,0.885,0.768,0.868,0.743,0.872
103,5,CalibratedClassifierCV,0.99,0.854,0.991,0.99,0.854,0.99,0.896,0.99
104,5,DecisionTreeClassifier,0.995,0.968,0.976,0.995,0.968,0.995,0.972,0.995
105,5,DummyClassifier,0.417,0.125,0.052,0.174,0.125,0.417,0.074,0.246
106,5,ExtraTreeClassifier,0.932,0.758,0.724,0.933,0.758,0.932,0.736,0.933
107,5,ExtraTreesClassifier,0.985,0.78,0.866,0.984,0.78,0.985,0.813,0.983
108,5,GaussianNB,0.929,0.911,0.728,0.946,0.911,0.929,0.767,0.935
109,5,KNeighborsClassifier,0.852,0.629,0.893,0.852,0.629,0.852,0.677,0.844
110,5,LabelPropagation,0.267,0.158,0.629,0.766,0.158,0.267,0.109,0.17
111,5,LabelSpreading,0.267,0.158,0.629,0.766,0.158,0.267,0.109,0.17
112,5,LinearDiscriminantAnalysis,0.981,0.977,0.915,0.985,0.977,0.981,0.931,0.982
113,5,LinearSVC,0.993,0.908,0.967,0.993,0.908,0.993,0.927,0.993
114,5,LogisticRegression,0.994,0.92,0.928,0.994,0.92,0.994,0.924,0.994
115,5,NearestCentroid,0.777,0.832,0.614,0.842,0.832,0.777,0.623,0.796
116,5,PassiveAggressiveClassifier,0.98,0.809,0.903,0.98,0.809,0.98,0.81,0.979
117,5,Perceptron,0.984,0.923,0.95,0.984,0.923,0.984,0.934,0.984
118,5,QuadraticDiscriminantAnalysis,0.911,0.713,0.677,0.918,0.713,0.911,0.692,0.911
119,5,RandomForestClassifier,0.983,0.761,0.859,0.983,0.761,0.983,0.795,0.982
120,5,RidgeClassifier,0.946,0.604,0.597,0.917,0.604,0.946,0.6,0.93
121,5,RidgeClassifierCV,0.946,0.604,0.597,0.917,0.604,0.946,0.6,0.93
