,Fold,Model,Accuracy,Balanced Accuracy,Precision-Macro,Precision-Weighted,Recall-Macro,Recall-Weighted,F1-Score-Macro,F1-Score-Weighted
90,4,NearestCentroid,0.877,0.659,0.621,0.924,0.659,0.877,0.618,0.895
91,4,PassiveAggressiveClassifier,0.985,0.89,0.924,0.986,0.89,0.985,0.869,0.985
92,4,Perceptron,0.991,0.865,0.824,0.991,0.865,0.991,0.84,0.991
93,4,QuadraticDiscriminantAnalysis,0.619,0.611,0.635,0.742,0.611,0.619,0.541,0.655
94,4,RandomForestClassifier,0.995,0.924,0.993,0.995,0.924,0.995,0.948,0.995
95,4,RidgeClassifier,0.946,0.592,0.599,0.922,0.592,0.946,0.594,0.933
96,4,RidgeClassifierCV,0.946,0.592,0.599,0.922,0.592,0.946,0.594,0.933
97,4,SGDClassifier,0.984,0.709,0.738,0.983,0.709,0.984,0.722,0.983
98,4,SVC,0.975,0.837,0.853,0.974,0.837,0.975,0.845,0.974
99,4,LGBMClassifier,0.429,0.201,0.317,0.582,0.201,0.429,0.135,0.34
100,5,AdaBoostClassifier,0.628,0.263,0.319,0.575,0.263,0.628,0.232,0.511
101,5,BaggingClassifier,0.998,0.98,0.999,0.998,0.98,0.998,0.989,0.998
102,5,BernoulliNB,0.886,0.834,0.758,0.913,0.834,0.886,0.779,0.891
103,5,CalibratedClassifierCV,0.989,0.906,0.989,0.989,0.906,0.989,0.924,0.988
104,5,DecisionTreeClassifier,0.996,0.98,0.978,0.996,0.98,0.996,0.979,0.996
105,5,DummyClassifier,0.417,0.125,0.052,0.174,0.125,0.417,0.074,0.246
106,5,ExtraTreeClassifier,0.966,0.905,0.927,0.965,0.905,0.966,0.915,0.966
107,5,ExtraTreesClassifier,0.997,0.976,0.998,0.997,0.976,0.997,0.986,0.997
108,5,GaussianNB,0.265,0.373,0.485,0.807,0.373,0.265,0.275,0.39
109,5,KNeighborsClassifier,0.8,0.475,0.619,0.801,0.475,0.8,0.506,0.789
110,5,LabelPropagation,0.724,0.506,0.71,0.77,0.506,0.724,0.556,0.723
111,5,LabelSpreading,0.724,0.506,0.71,0.77,0.506,0.724,0.556,0.723
112,5,LinearDiscriminantAnalysis,0.981,0.972,0.915,0.985,0.972,0.981,0.929,0.982
113,5,LinearSVC,0.992,0.932,0.968,0.991,0.932,0.992,0.945,0.991
114,5,LogisticRegression,0.992,0.908,0.984,0.992,0.908,0.992,0.922,0.991
115,5,NearestCentroid,0.884,0.82,0.647,0.931,0.82,0.884,0.653,0.9
116,5,PassiveAggressiveClassifier,0.981,0.819,0.915,0.982,0.819,0.981,0.834,0.98
117,5,Perceptron,0.981,0.907,0.978,0.981,0.907,0.981,0.926,0.98
118,5,QuadraticDiscriminantAnalysis,0.508,0.613,0.761,0.767,0.613,0.508,0.563,0.551
119,5,RandomForestClassifier,0.994,0.905,0.992,0.994,0.905,0.994,0.937,0.993
120,5,RidgeClassifier,0.948,0.605,0.598,0.92,0.605,0.948,0.601,0.933
121,5,RidgeClassifierCV,0.948,0.605,0.598,0.92,0.605,0.948,0.601,0.933
122,5,SGDClassifier,0.975,0.698,0.73,0.97,0.698,0.975,0.713,0.972
123,5,SVC,0.972,0.71,0.842,0.971,0.71,0.972,0.729,0.97
124,5,LGBMClassifier,0.523,0.284,0.282,0.599,0.284,0.523,0.265,0.547
125,6,AdaBoostClassifier,0.628,0.264,0.296,0.503,0.264,0.628,0.234,0.519
126,6,BaggingClassifier,0.997,0.975,0.993,0.997,0.975,0.997,0.983,0.997
127,6,BernoulliNB,0.879,0.826,0.834,0.909,0.826,0.879,0.811,0.882
128,6,CalibratedClassifierCV,0.988,0.905,0.886,0.987,0.905,0.988,0.88,0.987
129,6,DecisionTreeClassifier,0.997,0.975,0.983,0.997,0.975,0.997,0.978,0.997
130,6,DummyClassifier,0.406,0.125,0.051,0.165,0.125,0.406,0.072,0.235
131,6,ExtraTreeClassifier,0.978,0.901,0.88,0.978,0.901,0.978,0.874,0.978
132,6,ExtraTreesClassifier,0.994,0.975,0.984,0.994,0.975,0.994,0.98,0.994
133,6,GaussianNB,0.249,0.215,0.464,0.802,0.215,0.249,0.253,0.371
134,6,KNeighborsClassifier,0.784,0.436,0.569,0.784,0.436,0.784,0.466,0.772
135,6,LabelPropagation,0.736,0.47,0.639,0.781,0.47,0.736,0.511,0.737
136,6,LabelSpreading,0.736,0.47,0.639,0.781,0.47,0.736,0.511,0.737
137,6,LinearDiscriminantAnalysis,0.985,0.991,0.94,0.986,0.991,0.985,0.959,0.985
138,6,LinearSVC,0.988,0.908,0.899,0.988,0.908,0.988,0.884,0.988
139,6,LogisticRegression,0.99,0.922,0.97,0.99,0.922,0.99,0.94,0.99
140,6,NearestCentroid,0.868,0.809,0.612,0.914,0.809,0.868,0.621,0.884
141,6,PassiveAggressiveClassifier,0.983,0.767,0.82,0.983,0.767,0.983,0.778,0.982
142,6,Perceptron,0.978,0.892,0.929,0.978,0.892,0.978,0.903,0.978
143,6,QuadraticDiscriminantAnalysis,0.555,0.569,0.583,0.733,0.569,0.555,0.504,0.6
144,6,RandomForestClassifier,0.996,0.959,0.985,0.996,0.959,0.996,0.971,0.996
145,6,RidgeClassifier,0.95,0.59,0.6,0.927,0.59,0.95,0.593,0.937
146,6,RidgeClassifierCV,0.95,0.59,0.6,0.927,0.59,0.95,0.593,0.937
147,6,SGDClassifier,0.98,0.709,0.738,0.975,0.709,0.98,0.722,0.977
148,6,SVC,0.975,0.74,0.859,0.974,0.74,0.975,0.777,0.973
149,6,LGBMClassifier,0.23,0.125,0.029,0.053,0.125,0.23,0.047,0.086
150,7,AdaBoostClassifier,0.634,0.305,0.328,0.538,0.305,0.634,0.27,0.522
151,7,BaggingClassifier,0.994,0.989,0.984,0.994,0.989,0.994,0.986,0.994
152,7,BernoulliNB,0.885,0.836,0.769,0.913,0.836,0.885,0.775,0.89
153,7,CalibratedClassifierCV,0.987,0.923,0.959,0.987,0.923,0.987,0.939,0.987
154,7,DecisionTreeClassifier,0.992,0.943,0.86,0.992,0.825,0.992,0.839,0.992
155,7,DummyClassifier,0.416,0.143,0.059,0.173,0.143,0.416,0.084,0.245
156,7,ExtraTreeClassifier,0.975,0.942,0.838,0.976,0.825,0.975,0.83,0.975
157,7,ExtraTreesClassifier,0.992,0.974,0.97,0.992,0.974,0.992,0.971,0.992
158,7,GaussianNB,0.259,0.313,0.509,0.818,0.274,0.259,0.271,0.386
159,7,KNeighborsClassifier,0.805,0.555,0.713,0.808,0.555,0.805,0.593,0.795
160,7,LabelPropagation,0.748,0.532,0.686,0.798,0.532,0.748,0.566,0.748
161,7,LabelSpreading,0.748,0.532,0.686,0.799,0.532,0.748,0.566,0.749
162,7,LinearDiscriminantAnalysis,0.979,0.982,0.896,0.983,0.982,0.979,0.918,0.98
163,7,LinearSVC,0.989,0.947,0.961,0.989,0.947,0.989,0.953,0.989
164,7,LogisticRegression,0.991,0.928,0.99,0.991,0.928,0.991,0.95,0.991
165,7,NearestCentroid,0.859,0.772,0.622,0.922,0.675,0.859,0.614,0.882
166,7,PassiveAggressiveClassifier,0.984,0.888,0.848,0.985,0.777,0.984,0.787,0.984
167,7,Perceptron,0.984,0.894,0.826,0.985,0.782,0.984,0.798,0.984
168,7,QuadraticDiscriminantAnalysis,0.577,0.657,0.613,0.745,0.657,0.577,0.572,0.623
169,7,RandomForestClassifier,0.992,0.957,0.96,0.991,0.957,0.992,0.958,0.991
170,7,RidgeClassifier,0.948,0.687,0.685,0.922,0.687,0.948,0.685,0.934
171,7,RidgeClassifierCV,0.948,0.685,0.685,0.921,0.685,0.948,0.684,0.933
172,7,SGDClassifier,0.975,0.807,0.733,0.973,0.706,0.975,0.718,0.974
173,7,SVC,0.973,0.836,0.969,0.972,0.836,0.973,0.873,0.972
174,7,LGBMClassifier,0.994,0.968,0.841,0.995,0.847,0.994,0.844,0.995
